NamePL,NameEN,DescPL,DescEN,Source,Level
Alchemia,Alchemy,"Możesz wnieść magię do mikstury, maści lub przedmiotu. Zaczynasz z trzema alchemicznymi recepturami.","You can imbue magic within a potion, salve, or item. You start with three alchemical formulas.",AWoD,1
Zamożność,Affluent,"Gdy twoja sakiewka jest pusta, możesz podjąć próbę dokonania zakupów na obietnicę późniejszej spłaty.","When your purse is empty, you can attempt to make purchases with the promise of paying the money back at a later date.",AWoD,1
Urok,Allure,"Gdy uwodujesz kogoś, możesz skłonić go do wyjawienia intymnych sekretów wbrew zdrowemu rozsądkowi. Możesz też przyciągnąć czyjąś uwagę jednym spojrzeniem.","When you seduce someone, you can make them reveal intimate secrets about themselves despite their better judgment. You can also attract someone's attention with only a glance.",AWoD,1
Wycena,Appraise,Po zbadaniu przedmiotu jesteś w stanie określić przybliżoną wartość dzieł sztuki i towarów.,You can tell the approximate value of artwork and trade goods once you've inspected them.,AWoD,1
Cios w Plecy,Backstab,"Dodaj +3 obrażeń do ataków w walce wręcz, gdy cel nie jest świadomy twojej obecności.",Add +3 damage to melee attacks when the target is unaware of your presence.,AWoD,1
Targowanie,Bargain,Raz dziennie możesz o połowę obniżyć cenę zakupu dzięki znajomościom z kupcami lub gildyjnymi kontaktami.,"Once per day, you can halve the price of a purchase thanks to the different tradesmen you know, or the guilds you have contacts with.",AWoD,1
Berserk,Berserk,"Gdy jesteś w przewadze liczebnej wroga, dodajesz +1 do zadawanych obrażeń i +1 do pancerza, lecz musisz się powstrzymywać, by nie uciekać się do przemocy w napiętych sytuacjach.","When you are outnumbered, add +1 to the damage you inflict and +1 armor, but you must make an effort to not immediately resort to violence in heated situations.",AWoD,1
Błogosławieństwo,Bless,"Przy pomocy święconej wody możesz poświęcić przedmioty, czyniąc je świętymi i magicznymi — +3 obrażeń przeciwko Złu — na krótki czas.","With holy water, you can anoint items so they are considered holy and magical — +3 damage vs. Evil — for a short time.",AWoD,1
Krzepki,Brawny,+1 obrażeń w walce wręcz i bronią miotaną; możesz raz na atak przerzucić obrażenia.,"+1 melee and thrown weapons damage, can re-roll damage once per attack.",AWoD,1
Zamaskowany,Cloaked,"Gdy jesteś skryty w mroku, otrzymujesz +1 do pancerza.","When you are under the cover of darkness, you get +1 armor.",AWoD,1
Wpływowy,Connected,"Możesz podejmować próby uzyskania przysług od szlachty — pożyczki, zaproszenia na przyjęcie lub przedstawień ważnym osobistościom.","You can attempt to obtain favors from nobles, whether getting a loan, an invitation to a party, or introductions to other important people.",AWoD,1
Akrobata,Contort,Potrafisz uwolnić się z więzów lub wcisnąć w ciasne miejsca.,You are able to escape from bonds or squeeze into small or tight places.,AWoD,1
Kieszonkowiec,Cutpurse,"Gdy kradniesz z kieszeni lub ukrywasz przedmioty przy sobie, możesz to robić w biegu.","When you pick pockets or conceal things on your person, you can do so quickly while running.",AWoD,1
Uzdrowienie,Cure,"Możesz neutralizować trucizny, usuwać klątwy i leczyć rany bez dotykania.","You can neutralize poisons, remove curses and heal wounds without a touch.",AWoD,1
Potępienie,Damnation,Możesz próbować zsyłać klątwy lub dolegliwości na innych — poprzez kontakt wzrokowy lub fetysze.,"You can attempt to inflict curses or ailments upon others, either with eye contact or through a fetish.",AWoD,1
Brawura,Daring,Raz dziennie możesz zignorować obrażenia lub skutki zagrożenia środowiskowego.,"Once per day, you can ignore the damage or effects of an environmental hazard.",AWoD,1
Dyplomata,Diplomat,"Możesz wchodzić w negocjacje, targować się i pertraktować nawet z najbardziej nieznośnymi rozmówcami, o ile są wystarczająco inteligentni, by cię zrozumieć.","You can enter negotiations, bargain, or parley, even with the most disagreeable of people, as long as they are intelligent enough to understand you.",AWoD,1
Przebranie,Disguise,"Używając kostiumów i makijażu, możesz próbować wiarygodnie podszywać się pod inne osoby lub ukryć własną tożsamość.","When you use costumes and makeup, you can attempt to convincingly imitate other people, or ensure your own identity is unrecognizable.",AWoD,1
Wróżbiarstwo,Divination,"Wpatrując się w kryształ lub czaszę święconej wody, możesz próbować dostrzec odległe wydarzenia — przeszłe lub przyszłe.","When you gaze into a crystal or a bowl of holy water, you can attempt to see events either far away, in the past, or in the future.",AWoD,1
Pojedynkowicz,Duelist,Traktujesz każdą jednoręczną broń jak Lekką.,You treat any one-handed weapon as Light.,AWoD,1
Inżynieria,Engineer,Z umiejętnością Rzemiosła możesz tworzyć i naprawiać mechaniczne urządzenia i broń palną.,"With the Crafting skill, you can create and repair mechanical devices and firearms.",AWoD,1
Ekspert,Expert,Raz dziennie możesz zamienić Pudło w Częściowy Sukces.,"Once per day, you can turn a Miss into a Partial Success.",AWoD,1
Duch Towarzysz,Familiar,"Masz towarzysza zwierzęcego — kruka, szczura, kota, węża lub pająka — magicznie z tobą związanego. Możesz widzieć jego oczami i słyszeć, co słyszy.","You have an animal companion, such as a crow, rat, cat, snake or spider, magically bonded to you. You can see through its eyes, and hear what it hears.",AWoD,1
Magia w Kontakcie,Full-contact magic,"Możesz kanalizować zaklęcia przez pięści w walce wręcz. Jeśli trafisz, możesz przepuścić przez dłonie jedno zaklęcie Czarnoksięstwa w przeciwnika. Pozostajesz bezpieczny, nawet gdy zaklęcie obejmuje obszar wokół ciebie.","You can channel spells through your fists in melee. If you hit successfully, you can send one Wizardry spell through your fists into your opponent. You remain unharmed, even if that spell affects an area around you.",AWoD,1
Gadżety,Gadgetry,"Każdy problem próbujesz rozwiązać gadżetem własnej roboty. Za każdym razem gdy próbujesz czegoś ryzykownego, rzucasz +INT. Pudło oznacza, że gadżet nie działa jak powinien (wedle uznania MG). Na 3. poziomie projektujesz urządzenie replikujące zaklęcie Czarodziejstwa trzy razy dziennie. Na 6. i 9. poziomie zdobywasz kolejne urządzenia replikujące inne zaklęcia Czarodziejstwa.","You try to solve any problem with gadgets you build. Anytime you attempt something risky, you roll +INT. A Miss means the gadget does not what it should (GM's discretion). At Level 3, you design a device that replicates a Sorcery spell three times a day. At Levels 6 and 9, you each get one additional device that replicates another Sorcery spell.",AWoD,1
Ucieczka,Getaway,"Raz dziennie możesz automatycznie uciec z miejsca — sprintując, kluczując i unikając pościgu.","Once per day, you can automatically flee a location — sprinting, dodging, and ducking to avoid pursuit.",AWoD,1
Chroniony,Guarded,Raz dziennie możesz skierować dowolny atak wymierzony w ciebie na jednego ze swoich Najemników.,"Once per day, you can redirect any attack against you to one of your Hirelings.",AWoD,1
Zahartowany,Hardy,Dodaj +6 do punktów wytrzymałości.,Add +6 to your hit points.,AWoD,1
Ciężkie Dłonie/Stopy,Heavy Hands/Feet,"Zadajesz 1k6 obrażeń bez broni. Na 3., 5., 7. i 9. poziomie otrzymujesz dodatkowe +1 obrażeń.","You do 1d6 unarmed damage. On levels 3, 5, 7 and 9, you get an additional +1 damage.",AWoD,1
Łowca,Hunter,"Dodaj +3 obrażeń do ataków dystansowych, gdy cel nie jest świadomy twojej obecności.",Add +3 damage to ranged attacks when the target is unaware of your presence.,AWoD,1
Iluzje,Illusions,"Możesz tworzyć iluzje sprawiające, że ktoś widzi coś, czego nie ma, lub urzekać go, by wierzył w rzeczy nieprawdziwe.","You can create illusions to make someone see something that isn't there, or mesmerize them so they believe something that isn't true.",AWoD,1
Natchnienie,Inspire,"Możesz próbować kształtować opinię publiczną swoją pieśnią, opowieściami lub retoryką.","You can attempt to sway public opinion with your song, stories, or rhetoric.",AWoD,1
Instynkt,Instinct,Możesz przerzucić ZRĘ w reakcji na niebezpieczne sytuacje.,You can re-roll DEX when reacting to dangerous situations.,AWoD,1
Lingwista,Linguist,Znasz mowę i pismo wszystkich języków cywilizowanych.,You can speak and read all civilized languages.,AWoD,1
Obserwator,Lookout,"Gdy prowadzisz w mieście lub lochach, zawsze dostrzegasz cel przed tym, nim cel dostrzeże ciebie.","When you take the lead in the city or a dungeon, you always spot your targets before they spot you.",AWoD,1
Szczęście,Lucky,Raz dziennie możesz zamienić dowolne Pudło w Sukces.,"Once per day, you can turn any Miss into a Success instead.",AWoD,1
Punkty Życia Zasilane Magią,Magic-fueled hit points,"Masz dodatkowe punkty wytrzymałości (tyle, ile wynosi twój wynik Mocy). Za każde użyte zaklęcie Czarnoksięstwa tracisz 1 lub 2 z tych dodatkowych PW.","You have additional hit points (as many as your Power score). For each Wizardry spell you use, you lose 1 or 2 of those additional hit points.",AWoD,1
Tarcza Umysłu,Mind Shield,"Jesteś odporny na zaklęcia strachu, oczarowania i snu.","You are immune against fear, charm and sleep spells.",AWoD,1
Oportunista,Opportunist,"Gdy ty i twoi sojusznicy górujesz nad przeciwnikami, zadajesz +2 obrażeń.","When you and your allies overpower your opponents, you inflict +2 damage.",AWoD,1
Uspokojenie,Pacify,Możesz próbować uśmierzyć lub oczarować (pół)inteligentne stworzenia swoim głosem.,You can attempt to pacify or charm (demi)intelligent creatures with your voice.,AWoD,1
Występ,Perform,"Gdy bawisz tłum, możesz zarabiać k6 za każdy poziom dziennie. Jednak jeśli choć jedna kość wypadnie 1, publiczność staje się wroga i przez co najmniej tydzień nie wpuści cię na scenę bez obrzucania zgniłymi warzywami.","When you entertain a crowd, you can earn d6s per Level each day. However, should any die roll a 1, the audience turns nasty and you won't be allowed to perform for at least a week without having rotten vegetables thrown at you.",AWoD,1
Zwierzę,Pet,Masz lojalnego i skutecznego towarzysza zwierzęcego.,You have a loyal and effective animal companion.,AWoD,1
Prestiż,Prestige,"Wszyscy wiedzą, kim jesteś. Najemnicy kosztują o połowę mniej, bo szukają twojego zatrudnienia dla przyszłych łask i korzyści.","Everyone knows who you are. Halve the price of any Hirelings, as they seek your employ in order to gain later favors or advantages.",AWoD,1
Refleks,Reflexes,"Zawsze działasz pierwszy i możesz reagować, gdy zostajesz zaskoczony.","You always act first, and can react when suddenly surprised.",AWoD,1
Kamienna Skóra,Rockskin,Masz twardą jak kamień skórę (Pancerz 2).,You have rock-hard skin (Armor 2).,AWoD,1
