Miasto 1: Co to za lokalny punkt orientacyjny?,Miasto 2: Kogo zna lub o kim słyszał każdy w miasteczku?,Miasto 3: Jaką grupę znaczna część miasteczka nienawidzi?,Miasto 4: Czym miasteczko jest zafascynowane/obsesyjnie zajęte?,Miasto - Plotki,Postać - Więzi (Bonds),Postać 1: Do czego trenowałeś się najbardziej w życiu?,Postać 3: Musiałeś kiedyś zrobić coś złego dla pieniędzy. Co to było?,Postać 4: Co chciałbyś poznać lepiej?,Postać 5: Nie zawsze używałeś swojej mocy w dobrym celu. Kiedy tego żałujesz?,Postać 6: Masz pieniądze i wiesz jak je wydawać. Co kupiłeś?,"Postać 7: Ktoś dowiedział się o tobie czegoś, czego wolałbyś nie ujawniać. Co to było?",Postać 8: Ten wysiłek się opłaca. Co robiłeś ostatnio?,"Postać 10: Co poszło źle w twoim życiu, bo podjąłeś ryzyko?","Postać 11: W czym jesteś dobry, czego inni by się nie spodziewali?",Postać 13: Co wciąż cię trapi?,Postać 14: Jaka więź jest dla ciebie szczególnie cenna?,Postać 15: Co lubisz w sobie najbardziej?,"Postać 16: Co lubisz w sobie, co inni uważają za wadę charakteru?"
The old sawmill,The barista at the cafe,The historical society,A major holiday,The local landmark is haunted,Committed crimes together,Archaeologist,I'm a kleptomaniac,A specific culture,I refuse to listen to doubters,I own a store,Bad dreams,Getting swole,I got expelled,I'm a gym rat,I owe a lot of favors,My repeating parrot,I'm smart as a whip,I always have to be the best
The abandoned mansion,The bartender,"A powerful, old local family","A unique, local holiday",There was a murder there!,Served in the same unit,Linguist,I'm a petty thief,Dead languages,I get in over my head easily,I have a safehouse,Obsession,I made the team,I'm a convicted felon,I'm a ballet dancer,I owe one big favor,My sneaky cat,I'm really quick,I can charm anyone
The old insane asylum,The innkeeper,Busybodies,Mainstream religion,Wet footsteps on the bridge,Study in the same department,Antiquarian,Someone saw me steal,Music,I'm carrying immense guilt,I have a fallout shelter,I can't keep a secret,I can run further than ever,I'm broke,I used to be a huge jock,Someone stole something from me,My identical twin,Hyperfocus,Everyone loves me
The mine,The drug dealer,Gossips,"A local, ancient religion",Something is flying around,Work at the same company,Psychologist,Embezzled from work,Painting,I have a terrible secret,I have a huge private library,I can't bring myself to trust,I'm really tough,Everything I own is falling apart,I used to get in street fights,Someone stole a lot from me,My fraternal twin,I barely need to sleep,I'm very outspoken
The factory,The cook & waiter at the diner,One of the local high schools,"A local, new religion",Weird sounds in the woods,Work at rival companies,Doctor,Stole from my family,Writing,I have a death wish,I collect rare fetishes,Overly credulous,I got my black belt,I was robbed,I go for a run every night,I can't get hired,My boisterous dog,I'm persuasive,I'm very reserved
The farms,The bookstore owner,Survivalists,A specific ritual,Bigfoot!,One works for the other,Priest,Ran a scam,Speed-reading,I'm scared of dying,I belong to a private club,Insomnia,I can jump crazy high,I was the victim of a terrible crime,I go rock climbing on weekends,I just got fired,My scary snake,I'm persistent,I'm lazy
The pier,The town priest,The mafia,The ocean,The mayor works for the mob,We hate the same guy,Cop,I took credit I don't deserve,Astrology,I like to hurt people,I live in my family manor,Paranoid delusions,Working on my degree,I still have three bullets in me,I go hunting every year,I have asthma,My loyal brother,I'm really fast,I'm the strongest guy here
The docks,The street corner preacher,The tong,The woods,The cops are being blackmailed,We love the same guy,Private Eye,Falsely took charity,Sacred geometry,I ignore the little people,I bought the hospital a new wing,Pareidolia,I've got tenure,I'm missing a hand,I'm an Eagle Scout,"I'm fat, and that causes problems",My sister who looks out for me,I'm light on my feet,I can whip anyone
The wharf,The guy who thinks he's Jesus,The church,Stargazing,Dean is sleeping with a prof,We have the same stalker,Deputy,I can't save money,Local folklore,I get angry easily,I've invested in a lot of businesses,I see things that aren't there,I have my own lab,I have lung disease,I'm a survivalist,"I'm thin, and that causes problems",My protective father,I'm strong as an ox,I'm invincible
The marina,The town drunk,The local secret society,The upcoming comet,There's a peeping tom,Love triangle,Sheriff,I can't earn money,Traditional medicine,I'm easily offended,I own one big business,I constantly see omens,I have a team of subordinates,I have a speech impediment,I hike long distances,I have the Innsmouth Look,My helpful mother,I'm tough as nails,I'll accept any dare
The lighthouse,The town ghost,The local religion,The oncoming hurricane,The new guy is on the run,Vying for the same job,FBI agent,I'm homeless,Magic,I take revenge too far,I paid for the town library,I hear voices,I hold a high rank,I've had a few concussions,I train dogs,I have terrible allergies,My adoring younger sibling,I never get tired,I always defend my honor
The water tower,The local celebrity,The ;pca; weirdos,The weather,Has anyone checked on Jeb?,Trying to buy the same house,Warden,I robbed someone,Witchcraft,I feel I'm owed everything,I paid for a University position,I can't spot the obvious,I'm getting a good reputation,My hands shake,I ride horses,I can't handle sunlight for long,My adored older sibling,I can run like the wind,I treat everyone equally
The art museum,The university groundskeeper,The chamber of commerce,A specific sport,Fishers are becoming monsters,Siblings,Dilettante,I'm on the run,Rare books,I'm banned from the library,I've bribed a lot of people,"I don't like them, but they love me",I've spent a lot of time at the range,I never got closure,I get straight As,I have a dark secret,The gossipy regulars at my bar,I'm the best quarterback in state,No one would dare touch me
The natural history museum,The lighthouse keeper,A big business,Petty local politics,The farmer's being weird,Aunt or Uncle/niece or nephew,Philosopher,Arson for insurance,Antiques,I'm banned from the bar,I always have cash on hand,I have a hater,I'm going camping a lot,I can't handle loss,I'm a writer,I just look creepy,My paid employees,I'm a crack shot,I'm secretive
The local history museum,The richest man in town,The rich guy who moved in,The nearest big city,The town well smells off,Parent/child,Chef,A cop has a grudge against me,Cars,The cops hate me,People owe me small favors,My rival really dislikes me,I'm getting good at hiking,I'm carrying around trauma,I used to be a huge nerd,People don't trust me,My fellow volunteers,I can catch an arrow mid flight,I overshare
The university,The doctor,These two jerks,The even smaller sister city,The fish have extra eyes,In-laws,Artist,I've been framed,Guns,The mayor hates me,One person owes me a big favor,Someone pretends to love me,I'm a backwards expert,I put on a false front,I was a child prodigy,I'm awkward around strangers,My clever book club,My war record,I'm always the boss
The town square,The famous author,The filthiest family in the world,Tourism,There's something in the lake,From rival families,Businessman,I helped people cheat,Cameras,Town kids hate me,My friends never have to pay,I get bullied,I'm an expert hacker,I lost a prominent position,I used to be a priest,One person has a major grudge,My knowledgeable history club,My Olympic gold medal,I'm impulsive
The house of worship,The prominent professor,Con artists,The regatta,There's someone in the woods,Twins,Industrialist,I cheated,Knives,Jealous people hate me,I never run out of money,My friend betrayed me,I never get lost,I lost a limb,I used to be sailor,I pissed off a group of people,My dependable bowling league,I have a cast iron stomach,I always think things through
The only diner in town,The librarian,A local band,Fear of crime,The diner sells human meat,Lovers,Construction worker,I'm in the mafia,Jiu-Jitsu,Someone has a grudge,My family's sword,Someone saw me commit a crime,I'm moving up socially,I owe someone a serious favor,I'm psychometric,I'm too quick to trust,My observant neighbours,I'm quite the charmer,I have great luck
The dive bar,The sheriff,The local sports team,The town's reputation,A spellbook in the library,Rivals,Athlete,I'm 'out' of the mafia,Fencing,I have a vengeful ex,I have a collection of custom guns,I'm being stalked,I'm on the board,I've made a lot of minor enemies,I see dead people,People don't take me seriously,My loving partner,I'm very handsome,I love to talk to people
