Miasteczko 1: Co jest lokalnym punktem orientacyjnym?;Miasteczko 2: Kogo znają lub o kim słyszeli wszyscy w miasteczku?;Miasteczko 3: Jakiej grupy znaczna część miasteczka nie cierpi?;Miasteczko 4: Na punkcie czego miasteczko ma obsesję?;Miasteczko - Plotki;Postać - Więzi;Postać 1: Do czego trenowałeś lub trenowałaś najwięcej przez całe życie?;Postać 3: Musiałeś kiedyś zrobić coś złego dla pieniędzy. Co to było?;Postać 4: O czym chcesz wiedzieć więcej?;Postać 5: Nie zawsze używałeś swojej władzy w dobrym celu. Jakiego użycia do dziś żałujesz?;Postać 6: Masz pieniądze i wiesz, jak je wydawać. Co kupiłeś lub kupiłaś?;Postać 7: Ktoś dowiedział się o tobie czegoś, czego wolałbyś nie ujawniać. Co to było?;Postać 8: Ten cały wysiłek zaczyna przynosić efekty. Co robiłeś lub robiłaś?;Postać 10: Co poszło w twoim życiu źle, bo podjąłeś lub podjęłaś ryzyko?;Postać 11: W czym jesteś dobry lub dobra, choć ludzie mogliby się tego po tobie nie spodziewać?;Postać 13: Co wciąż cię trapi?;Postać 14: Jakie połączenie jest dla ciebie szczególnie cenne?;Postać 15: Co najbardziej lubisz w sobie?;Postać 16: Co lubisz w sobie, choć niektórzy uznają to za wadę charakteru?
Zamknięty kombinat;Cinkciarz;Nowobogaccy z hurtowni;Drużyna piłkarska z ligi okręgowej;W kombinacie ktoś nadal pracuje na nocnej zmianie;Razem popełniliśmy przestępstwa;Archeolog;Jestem kleptomanem;Konkretna kultura;Odmawiam słuchania niedowiarków;Mam sklep;Złe sny;Solidnie się rozbudowałem;Wyrzucono mnie ze szkoły;Jestem bywalcem siłowni;Jestem winien mnóstwo przysług;Moja papuga, która wszystko powtarza;Mam błyskotliwy umysł;Zawsze muszę być najlepszy
Cegielnia;Barman z jedynej dyskoteki;Cinkciarze i kantorowicze;Budowa nowego kościoła;Za płotem koszar zostało coś po Rosjanach;Służyliśmy w tej samej jednostce;Lingwista;Jestem drobnym złodziejem;Martwe języki;Łatwo porywam się z motyką na słońce;Mam bezpieczną kryjówkę;Obsesja;Dostałem się do drużyny;Jestem skazanym przestępcą;Jestem tancerką baletową;Jestem winien jedną wielką przysługę;Mój przebiegły kot;Jestem naprawdę szybki;Potrafię oczarować każdego
Nieczynny szyb kopalniany;Właściciel wypożyczalni kaset wideo;Dresiarze z osiedla;Czy zakład zostanie sprzedany;Radiowóz stał całą noc pod jednym domem;Studiujemy na tym samym wydziale;Antykwariusz;Ktoś widział, jak kradnę;Muzyka;Dźwigam ogromne poczucie winy;Mam schron przeciwatomowy;Nie umiem dochować tajemnicy;Biegam dalej niż kiedykolwiek;Jestem spłukany;Kiedyś byłem wielkim sportowcem;Ktoś mi coś ukradł;Moje jednojajowe bliźnię;Hiperfokus;Wszyscy mnie kochają
Bocznica kolejowa;Były dyrektor zakładu;Dawna dyrekcja zakładu;Kto kupił nowy samochód;Dyrektor wywiózł dokumenty i zniknął;Pracujemy w tej samej firmie;Psycholog;Sprzeniewierzyłem pieniądze z pracy;Malarstwo;Mam straszny sekret;Mam ogromną prywatną bibliotekę;Nie potrafię nikomu zaufać;Jestem naprawdę twardy;Wszystko, co posiadam, się rozpada;Kiedyś wdawałem się w uliczne bójki;Ktoś ukradł mi bardzo wiele;Moje dwujajowe bliźnię;Prawie nie potrzebuję snu;Mówię bardzo otwarcie
Wieża ciśnień;Właściciel hurtowni, nowy bogacz;Cała rada miasta;Doroczny odpust;W gliniankach coś jest — dlatego tam giną ludzie;Pracujemy w konkurencyjnych firmach;Lekarz;Okradłem własną rodzinę;Pisanie;Mam życzenie śmierci;Kolekcjonuję rzadkie fetysze;Zbyt łatwo wierzę ludziom;Zdobyłem czarny pas;Zostałem okradziony;Co wieczór wychodzę pobiegać;Nikt nie chce mnie zatrudnić;Mój hałaśliwy pies;Jestem przekonujący;Jestem bardzo powściągliwy
Baraki po PGR-ze;Proboszcz;Handlarze z bazaru;Wybory samorządowe;Nowy w mieście przed kimś ucieka;Jedno pracuje dla drugiego;Ksiądz;Prowadziłem przekręt;Szybkie czytanie;Boję się śmierci;Należę do prywatnego klubu;Bezsenność;Skaczę niewiarygodnie wysoko;Padłem ofiarą strasznej zbrodni;W weekendy wspinam się po skałach;Właśnie mnie zwolniono;Mój przerażający wąż;Jestem wytrwały;Jestem leniwy
Wypożyczalnia kajaków;Dzielnicowy, który zna wszystkich z imienia;Ruscy przyjeżdżający z towarem na stadion;Obwodnica, która ma tu powstać;Ktoś widział światła nad wysypiskiem;Nienawidzimy tego samego faceta;Policjant;Przypisałem sobie cudzą zasługę;Astrologia;Lubię krzywdzić ludzi;Mieszkam w rodowej posiadłości;Paranoiczne urojenia;Pracuję nad dyplomem;Wciąż mam w sobie trzy kule;Co roku jeżdżę na polowania;Mam astmę;Mój lojalny brat;Jestem naprawdę szybki;Jestem tu najsilniejszym gościem
Glinianki — dzikie kąpielisko;Ekspedientka z warzywniaka, wie wszystko o wszystkich;Wietnamczycy, którzy otworzyli bar;Ceny na bazarze;Ksiądz wie wszystko, ale nie może powiedzieć;Kochamy tego samego faceta;Prywatny detektyw;Niesłusznie brałem jałmużnę;Święta geometria;Ignoruję zwykłych ludzi;Sfinansowałem nowy oddział szpitala;Pareidolia;Mam stały etat akademicki;Brakuje mi dłoni;Mam najwyższy stopień harcerski;Jestem gruby i przez to mam problemy;Moja siostra, która mnie pilnuje;Lekko stąpam;Mogę spuścić łomot każdemu
Most kolejowy;Kioskarz z Ruchu;Romowie z osiedla za torami;Wyjazdy do pracy na Zachód;Fundusz to piramida i zniknie w każdej chwili;Mamy tego samego stalkera;Zastępca szeryfa;Nie umiem oszczędzać;Lokalny folklor;Łatwo się złoszczę;Zainwestowałem w mnóstwo firm;Widzę rzeczy, których nie ma;Mam własne laboratorium;Mam chorobę płuc;Jestem survivalowcem;Jestem chudy i przez to mam problemy;Mój opiekuńczy ojciec;Jestem silny jak wół;Jestem niezwyciężony
