NamePL,NameEN,DescPL,DescEN,Source,Level
Alchemia,Alchemy,"Możesz nasycać magią miksturę, maść lub przedmiot. Zaczynasz z trzema formułami alchemicznymi.","You can imbue magic within a potion, salve, or item. You start with three alchemical formulas.",AWoD,1
Zamożność,Affluent,"Gdy sakiewka świeci pustką, możesz próbować kupować na kredyt, obiecując zapłatę później.","When your purse is empty, you can attempt to make purchases with the promise of paying the money back at a later date.",AWoD,1
Urok,Allure,"Gdy kogoś uwodzisz, możesz skłonić go do wyjawienia intymnych sekretów wbrew lepszemu osądowi. Możesz też przyciągnąć czyjąś uwagę samym spojrzeniem.","When you seduce someone, you can make them reveal intimate secrets about themselves despite their better judgment. You can also attract someone's attention with only a glance.",AWoD,1
Wycena,Appraise,Po obejrzeniu dzieła sztuki lub towaru potrafisz określić jego przybliżoną wartość.,You can tell the approximate value of artwork and trade goods once you've inspected them.,AWoD,1
Cios w Plecy,Backstab,"Dodaj +3 obrażenia do ataków wręcz, jeśli cel nie jest świadomy twojej obecności.",Add +3 damage to melee attacks when the target is unaware of your presence.,AWoD,1
Targowanie,Bargain,Raz dziennie możesz obniżyć cenę zakupu o połowę dzięki znajomościom wśród kupców i gildii.,"Once per day, you can halve the price of a purchase thanks to the different tradesmen you know, or the guilds you have contacts with.",AWoD,1
Szał,Berserk,"Gdy przeciwnicy mają nad tobą przewagę liczebną, zadajesz +1 obrażenie i zyskujesz +1 Pancerza, ale w napiętych sytuacjach musisz powstrzymywać się przed natychmiastowym sięganiem po przemoc.","When you are outnumbered, add +1 to the damage you inflict and +1 armor, but you must make an effort to not immediately resort to violence in heated situations.",AWoD,1
Błogosławieństwo,Bless,"Za pomocą wody święconej możesz namaścić przedmiot, czyniąc go na krótko świętym i magicznym: zadaje +3 obrażenia przeciw Złu.","With holy water, you can anoint items so they are considered holy and magical — +3 damage vs. Evil — for a short time.",AWoD,1
Krzepa,Brawny,+1 do obrażeń bronią wręcz i miotaną; raz na atak możesz przerzucić obrażenia.,"+1 melee and thrown weapons damage, can re-roll damage once per attack.",AWoD,1
Okryty Cieniem,Cloaked,"Gdy kryje cię mrok, zyskujesz +1 Pancerza.","When you are under the cover of darkness, you get +1 armor.",AWoD,1
Koneksje,Connected,"Możesz próbować uzyskać przysługi od możnych: pożyczkę, zaproszenie na przyjęcie albo wprowadzenie do ważnych osób.","You can attempt to obtain favors from nobles, whether getting a loan, an invitation to a party, or introductions to other important people.",AWoD,1
Gibkość,Contort,Potrafisz uwolnić się z więzów i przecisnąć przez ciasne szczeliny.,You are able to escape from bonds or squeeze into small or tight places.,AWoD,1
Kieszonkowiec,Cutpurse,"Gdy kradniesz z kieszeni lub ukrywasz coś przy sobie, możesz robić to szybko, nawet w biegu.","When you pick pockets or conceal things on your person, you can do so quickly while running.",AWoD,1
Uzdrowienie,Cure,"Możesz neutralizować trucizny, zdejmować klątwy i leczyć rany bez dotyku.","You can neutralize poisons, remove curses and heal wounds without a touch.",AWoD,1
Potępienie,Damnation,Możesz próbować zsyłać na innych klątwy lub dolegliwości poprzez kontakt wzrokowy albo fetysz.,"You can attempt to inflict curses or ailments upon others, either with eye contact or through a fetish.",AWoD,1
Brawura,Daring,Raz dziennie możesz zignorować obrażenia lub skutki zagrożenia środowiskowego.,"Once per day, you can ignore the damage or effects of an environmental hazard.",AWoD,1
Dyplomata,Diplomat,"Możesz negocjować, targować się i pertraktować nawet z najbardziej nieznośnymi rozmówcami, o ile są dość inteligentni, by cię zrozumieć.","You can enter negotiations, bargain, or parley, even with the most disagreeable of people, as long as they are intelligent enough to understand you.",AWoD,1
Przebranie,Disguise,"Używając kostiumów i makijażu, możesz przekonująco podszywać się pod innych albo uczynić własną tożsamość nierozpoznawalną.","When you use costumes and makeup, you can attempt to convincingly imitate other people, or ensure your own identity is unrecognizable.",AWoD,1
Wróżbiarstwo,Divination,"Wpatrując się w kryształ lub misę z wodą święconą, możesz próbować ujrzeć wydarzenia odległe, minione albo przyszłe.","When you gaze into a crystal or a bowl of holy water, you can attempt to see events either far away, in the past, or in the future.",AWoD,1
Szermierz,Duelist,Traktujesz każdą broń jednoręczną jak Lekką.,You treat any one-handed weapon as Light.,AWoD,1
Inżynier,Engineer,"Mając umiejętność Rzemiosło, możesz tworzyć i naprawiać urządzenia mechaniczne oraz broń palną.","With the Crafting skill, you can create and repair mechanical devices and firearms.",AWoD,1
Ekspert,Expert,Raz dziennie możesz zamienić Pudło w Częściowy sukces.,"Once per day, you can turn a Miss into a Partial Success.",AWoD,1
Chowaniec,Familiar,"Masz magicznie związanego ze sobą zwierzęcego towarzysza, takiego jak kruk, szczur, kot, wąż albo pająk. Możesz widzieć jego oczami i słyszeć jego uszami.","You have an animal companion, such as a crow, rat, cat, snake or spider, magically bonded to you. You can see through its eyes, and hear what it hears.",AWoD,1
Magia Kontaktowa,Full-contact magic,"Możesz przekazywać zaklęcia przez pięści w walce wręcz. Jeśli trafisz, możesz posłać w przeciwnika jedno zaklęcie Czarnoksięstwa. Sam pozostajesz bez szwanku, nawet jeśli zaklęcie obejmuje obszar wokół ciebie.","You can channel spells through your fists in melee. If you hit successfully, you can send one Wizardry spell through your fists into your opponent. You remain unharmed, even if that spell affects an area around you.",AWoD,1
Gadżeciarstwo,Gadgetry,"Każdy problem próbujesz rozwiązać skonstruowanym przez siebie gadżetem. Za każdym razem, gdy podejmujesz ryzykowne działanie, rzucasz +INT. Pudło oznacza, że gadżet nie działa tak, jak powinien (wedle uznania MG). Na 3. poziomie projektujesz urządzenie, które trzy razy dziennie odtwarza jedno zaklęcie Czarodziejstwa. Na 6. i 9. poziomie otrzymujesz po jednym dodatkowym urządzeniu odtwarzającym inne zaklęcie Czarodziejstwa.","You try to solve any problem with gadgets you build. Anytime you attempt something risky, you roll +INT. A Miss means the gadget does not what it should (GM's discretion). At Level 3, you design a device that replicates a Sorcery spell three times a day. At Levels 6 and 9, you each get one additional device that replicates another Sorcery spell.",AWoD,1
Ucieczka,Getaway,"Raz dziennie możesz automatycznie uciec z danego miejsca, biegnąc, robiąc uniki i kryjąc się przed pościgiem.","Once per day, you can automatically flee a location — sprinting, dodging, and ducking to avoid pursuit.",AWoD,1
Osłona,Guarded,Raz dziennie możesz przekierować dowolny atak wymierzony w ciebie na jednego ze swoich najemników.,"Once per day, you can redirect any attack against you to one of your Hirelings.",AWoD,1
